Date,entry_price,position,exit_price,p/l
2018-07-06,279.98209136962885,short,281.42999267578125,-144.7901306152403
2018-07-11,281.52739013671874,short,283.0899963378906,-156.26062011718886
2018-07-18,285.9208963012695,short,286.17999267578125,-25.909637451172784
2018-07-19,284.73921356201174,short,285.19000244140625,-45.07888793945085
2018-07-20,284.4361950683594,short,283.3599853515625,107.62097167968818
2018-07-23,284.9614147949219,short,281.7699890136719,319.1425781250018
2018-07-25,283.3181927490234,long,282.8800048828125,-43.81878662109102
2018-07-26,282.3381024169922,long,284.2300109863281,189.19085693359534
2018-07-30,284.5876889038086,short,286.6499938964844,-206.2304992675763
2018-07-31,286.1127987670898,short,287.4700012207031,-135.72024536132972
2018-08-01,285.7088049316406,short,287.3699951171875,-166.11901855469
2018-08-02,287.0723110961914,short,287.1099853515625,-3.767425537108693
2018-08-06,283.7834939575195,long,284.1099853515625,32.64913940429892
2018-08-07,284.5953012084961,long,285.92999267578125,133.4691467285154
2018-08-08,284.4962951660156,long,283.6499938964844,-84.63012695312386
2018-08-09,284.2388854980469,long,286.1000061035156,186.11206054687273
2018-08-10,282.21930725097656,long,287.0400085449219,482.07012939453193
2018-08-13,286.95108520507813,short,287.739990234375,-78.89050292968705
2018-08-14,283.0706927490234,long and short,288.7892926025391,571.8599853515684
2018-08-15,286.4864938354492,short,288.2200012207031,-173.35073852539153
2018-08-16,288.9610061645508,short,287.7300109863281,123.09951782226562
2018-08-20,290.61739013671877,short,291.80999755859375,-119.26074218749818
2018-08-21,291.11231109619143,short,291.8900146484375,-77.77035522460665
2018-08-22,291.10220123291015,short,293.5400085449219,-243.78073120117278
2018-08-23,290.6073110961914,short,292.2900085449219,-168.26974487304938
2018-08-24,292.4151889038086,short,292.44000244140625,-2.4813537597651703
2018-08-29,290.6046084594727,long,290.30999755859375,-29.461090087892217
2018-08-30,289.36710845947266,long,289.6000061035156,23.28976440429642
2018-08-31,289.5156024169922,long,290.25,73.43975830078193
